time	tictoc	state	task counter	tube width	phi des	v ropod	x ropod	y ropod	theta ropod	x obs	y obs	theta obs	obs width	obs depth	obs vx	obs vy	des accel
9.1	0.000307	5	0	1.5	0.964961	0.403996	2.6621	1.24884	-1.7553	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.275982	
9.2	0.000285	5	0	1.5	1.31121	0.379793	2.6621	1.24884	-1.7553	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.179171	
9.3	0.00014	5	0	1.5	1.31121	0.358081	2.69364	1.17648	-1.72329	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0923225	
9.4	0.000303	5	0	1.5	1.50186	0.315564	2.72984	1.14341	-1.69737	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0777439	
9.5	0.000305	5	0	1.5	1.46129	0.281004	2.72984	1.14341	-1.69737	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.215983	
9.6	0.00028	5	0	1.5	1.46129	0.233638	2.77101	1.10903	-1.66651	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.405449	
9.7	0.000285	5	0	1.5	1.41583	0.188589	2.77101	1.10903	-1.66651	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
9.8	0.000299	5	0	1.5	1.41583	0.157312	2.81576	1.08376	-1.64229	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
9.9	0.00031	5	0	1.5	1.38349	0.135309	2.81576	1.08376	-1.64229	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10	0.000297	5	0	1.5	1.38349	0.119132	2.85965	1.06848	-1.60085	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.1	0.000276	5	0	1.5	1.34018	0.110271	2.85965	1.06848	-1.60085	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.2	0.000273	5	0	1.5	1.34018	0.105545	2.85965	1.06848	-1.60085	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.3	0.00028	5	0	1.5	1.34018	0.0916079	2.88819	1.057	-1.57028	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.4	0.000301	5	0	1.5	1.30741	0.0912145	2.88819	1.057	-1.57028	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.5	0.000277	5	0	1.5	1.30741	0.0953279	2.88819	1.057	-1.57028	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.6	0.00028	5	0	1.5	1.30741	0.0925344	2.88819	1.057	-1.57028	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.7	0.000293	5	0	1.5	1.30741	0.0919767	2.9263	1.04874	-1.53574	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.8	0.000261	5	0	1.5	1.27446	0.0983653	2.9263	1.04874	-1.53574	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
10.9	0.000305	5	0	1.5	1.27446	0.106692	2.9263	1.04874	-1.53574	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11	0.000295	5	0	1.5	1.27446	0.110641	2.95066	1.04761	-1.50824	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.1	0.000298	5	0	1.5	1.25064	0.113588	2.95066	1.04761	-1.50824	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.2	0.000309	5	0	1.5	1.25064	0.115719	2.97379	1.04721	-1.47892	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.3	0.000268	5	0	1.5	1.22524	0.113008	2.97379	1.04721	-1.47892	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.4	0.000264	5	0	1.5	1.22524	0.121086	2.97379	1.04721	-1.47892	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.5	0.000293	5	0	1.5	1.22524	0.128719	3.0041	1.04243	-1.44579	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.6	0.000274	5	0	1.5	1.19453	0.125697	3.0041	1.04243	-1.44579	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.7	0.000299	5	0	1.5	1.19453	0.126245	3.0041	1.04243	-1.44579	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.8	0.000287	5	0	1.5	1.19453	0.132475	3.03551	1.03822	-1.41011	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
11.9	0.000285	5	0	1.5	1.16183	0.146377	3.03551	1.03822	-1.41011	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12	0.000273	5	0	1.5	1.16183	0.151362	3.06862	1.03255	-1.37971	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.1	0.000258	5	0	1.5	1.13377	0.163113	3.06862	1.03255	-1.37971	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.2	0.000263	5	0	1.5	1.13377	0.164714	3.06862	1.03255	-1.37971	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.3	0.000259	5	0	1.5	1.13377	0.164174	3.10673	1.033	-1.34242	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.4	0.000332	5	0	1.5	1.10366	0.165746	3.10673	1.033	-1.34242	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.5	0.000454	5	0	1.5	1.10366	0.16208	3.14356	1.02293	-1.31702	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.6	0.000383	5	0	1.5	1.07845	0.165929	3.14356	1.02293	-1.31702	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.7	0.00028	5	0	1.5	1.07845	0.174885	3.17368	1.01687	-1.28921	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.8	0.000277	5	0	1.5	1.0522	0.180523	3.17368	1.01687	-1.28921	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
12.9	0.000298	5	0	1.5	1.0522	0.179194	3.20532	1.01571	-1.26161	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
13	0.000259	5	0	1.5	1.02956	0.178945	3.20532	1.01571	-1.26161	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
13.1	0.000284	5	0	1.5	1.02956	0.207242	3.24294	1.01092	-1.23077	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.5	
13.2	0.000219	5	0	1.5	1.00245	0.231662	3.24294	1.01092	-1.23077	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.413352	
13.3	0.000286	5	0	1.5	1.00245	0.253536	3.2866	1.00747	-1.19878	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.325856	
13.4	0.000279	5	0	1.5	0.976133	0.272761	3.31017	1.00381	-1.16995	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.248957	
13.5	0.000272	5	0	1.5	0.949205	0.306518	3.31017	1.00381	-1.16995	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.11393	
13.6	0.000264	5	0	1.5	0.949205	0.303754	3.35103	1.00149	-1.13504	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.124985	
13.7	0.000283	5	0	1.5	0.920173	0.311702	3.39108	0.997311	-1.105	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0931901	
13.8	0.000286	5	0	1.5	0.89468	0.329764	3.42746	0.994645	-1.07347	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0209423	
13.9	0.000281	5	0	1.5	0.855351	0.343251	3.42746	0.994645	-1.07347	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0330042	
14	0.000247	5	0	1.5	0.855351	0.353084	3.47663	0.99335	-1.03361	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0723359	
14.1	0.000249	5	0	1.5	0.761025	0.361019	3.51704	0.997129	-0.996118	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.104075	
14.2	0.000259	5	0	1.5	0.667733	0.347918	3.56389	0.996157	-0.962988	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0516721	
14.3	0.000268	5	0	1.5	0.579813	0.353357	3.56389	0.996157	-0.962988	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0734261	
14.4	0.000262	5	0	1.5	0.579813	0.349111	3.6097	0.994159	-0.921557	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0564445	
14.5	0.000267	5	0	1.5	0.485872	0.350006	3.65464	0.988952	-0.889019	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0600253	
14.6	0.000271	5	0	1.5	0.409983	0.353675	3.65464	0.988952	-0.889019	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0746999	
14.7	0.000285	5	0	1.5	0.409983	0.345036	3.7291	0.981653	-0.849233	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.0401448	
14.8	0.000236	5	0	1.5	0.301213	0.341683	3.7291	0.981653	-0.849233	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	-0.026732	
14.9	0.000262	5	0	1.5	0.301213	0.331608	3.79282	0.968337	-0.809248	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0135672	
15	0.000275	5	0	1.5	0.221891	0.329852	3.79282	0.968337	-0.809248	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0205909	
15.1	0.000236	5	0	1.5	0.221891	0.320697	3.85356	0.949546	-0.773295	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0572105	
15.2	0.000232	5	0	1.5	0.168325	0.32323	3.85356	0.949546	-0.773295	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0470817	
15.3	0.000251	5	0	1.5	0.168325	0.314941	3.85356	0.949546	-0.773295	-5.58702	2.99194	1.25004	0.347873	0.03	-0.00574513	-0.0169459	0.0802376	
